id,number,name_en,type_element,rarity,expansion
1951,23/111,Golem 4,Fighting,Rare,Rising Rivals
1952,44/110,Graveler,Fighting,Uncommon,Legendary Collection
1953,79/165,Graveler,Fighting,Uncommon,Expedition
1954,29/97,Graveler,Fighting,Uncommon,Dragon
1955,30/97,Graveler,Fighting,Uncommon,Dragon
1956,34/92,Graveler,Fighting,Uncommon,Legend Maker
1957,51/123,Graveler,Fighting,Uncommon,Mysterious Treasures
1958,37/99,Graveler,Fighting,Uncommon,Arceus
1959,102/101,Groudon,Fighting,Rare Holo,Hidden Legends
1960,5/106,Groudon,Fighting,Rare Holo,Emerald
1961,14/106,Groudon,Fighting,Rare,Emerald
1962,29/146,Groudon,Fighting,Rare,Legends Awakened
1963,6/95,Groudon,Fighting,Rare Holo,Call of Legends
1964,SL4,Groudon,Fighting,ShinyRare Holo,Call of Legends
1965,93/101,Groudon ex,Fighting,Rare Holo ex,Hidden Legends
1966,93/100,Groudon ex,Fighting,Rare Holo ex,Crystal Guardians
1967,111/113,Groudon Star,Fighting,ShinyRare Holo,Delta Species
1968,60/114,Gurdurr,Fighting,Uncommon,Black White
1969,8/109,Hariyama,Fighting,Rare Holo,Ruby Sapphire
1970,33/109,Hariyama,Fighting,Uncommon,Ruby Sapphire
1971,31/106,Hariyama,Fighting,Uncommon,Emerald
1972,44/113,Hariyama,Fighting,Uncommon,Delta Species
1973,41/106,Hariyama,Fighting,Uncommon,Great Encounters
1974,20/99,Hariyama,Fighting,Rare,Arceus
1975,14/90,Hariyama,Fighting,Rare,Undaunted
1976,100/107,Hariyama ex,Fighting,Rare Holo ex,Deoxys
1977,43/109,Heracross,Fighting,Uncommon,Team Rocket Returns
1978,51/130,Hippopotas,Fighting,Uncommon,Diamond Pearl
1979,66/100,Hippopotas,Fighting,Common,Majestic Dawn
1980,64/111,Hippopotas,Fighting,Common,Rising Rivals
1981,61/147,Hippopotas,Fighting,Uncommon,Supreme Victors
1982,29/130,Hippowdon,Fighting,Rare,Diamond Pearl
1983,21/100,Hippowdon,Fighting,Rare,Majestic Dawn
1984,25/111,Hippowdon,Fighting,Rare,Rising Rivals
1985,107/111,Hippowdon LV.X,Fighting,Rare Holo LV.X,Rising Rivals
1986,42/111,Hippowdon 4,Fighting,Uncommon,Rising Rivals
1987,69/105,Hitmonchan,Fighting,Common,Neo Destiny
1988,81/147,Hitmonchan,Fighting,Common,Aquapolis
1989,24/115,Hitmonchan,Fighting,Rare,Unseen Forces
1990,99/146,Hitmonchan,Fighting,Common,Legends Awakened
1991,129/127,Hitmonchan,Fighting,SuperRare Holo,Platinum
1992,51/90,Hitmonchan,Fighting,Common,Undaunted
1993,57/95,Hitmonchan,Fighting,Common,Call of Legends
1994,98/109,Hitmonchan ex,Fighting,Rare Holo ex,Ruby Sapphire
1995,13/110,Hitmonlee,Fighting,Rare Holo,Legendary Collection
1996,81/165,Hitmonlee,Fighting,Uncommon,Expedition
1997,25/115,Hitmonlee,Fighting,Rare,Unseen Forces
1998,100/146,Hitmonlee,Fighting,Common,Legends Awakened
1999,52/90,Hitmonlee,Fighting,Common,Undaunted
2000,58/95,Hitmonlee,Fighting,Common,Call of Legends
2001,82/147,Hitmontop,Fighting,Common,Aquapolis
2002,26/115,Hitmontop,Fighting,Rare,Unseen Forces
2003,101/146,Hitmontop,Fighting,Common,Legends Awakened
2004,5/123,Hitmontop,Fighting,Rare Holo,HeartGold SoulSilver
2005,8/95,Hitmontop,Fighting,Rare Holo,Call of Legends
2006,31/101,Horsea ?,Fighting,Uncommon,Dragon Frontiers
2007,50/101,Horsea ?,Fighting,Common,Dragon Frontiers
2008,3/100,Infernape,Fighting,Rare Holo,Stormfront
2009,48/110,Kabuto,Fighting,Uncommon,Legendary Collection
2010,37/144,Kabuto,Fighting,Uncommon,Skyridge
2011,36/92,Kabuto,Fighting,Uncommon,Legend Maker
2012,51/108,Kabuto,Fighting,Common,Power Keepers
2013,67/100,Kabuto,Fighting,Common,Majestic Dawn
2014,67/99,Kabuto,Fighting,Common,Arceus
2015,27/110,Kabutops,Fighting,Rare,Legendary Collection
2016,14/144,Kabutops,Fighting,Rare,Skyridge
2017,7/92,Kabutops,Fighting,Rare Holo,Legend Maker
2018,10/108,Kabutops,Fighting,Rare Holo,Power Keepers
2019,6/100,Kabutops,Fighting,Rare Holo,Majestic Dawn
2020,4/99,Kabutops,Fighting,Rare Holo,Arceus
2021,94/101,Kingdra ex ?,Fighting,Rare Holo ex,Dragon Frontiers
2022,64/114,Krokorok,Fighting,Uncommon,Black White
2023,61/98,Krokorok,Fighting,Uncommon,Emerging Powers
2024,65/114,Krookodile,Fighting,Rare Holo,Black White
2025,62/98,Krookodile,Fighting,Rare,Emerging Powers
2026,70/105,Larvitar,Fighting,Common,Neo Destiny
2027,116/165,Larvitar,Fighting,Common,Expedition
2028,89/147,Larvitar,Fighting,Common,Aquapolis
2029,62/109,Larvitar,Fighting,Common,Team Rocket Returns
2030,63/109,Larvitar,Fighting,Common,Team Rocket Returns
2031,52/106,Larvitar,Fighting,Common,Emerald
2032,61/115,Larvitar,Fighting,Common,Unseen Forces
2033,51/101,Larvitar,Fighting,Common,Dragon Frontiers
2034,87/123,Larvitar,Fighting,Common,Mysterious Treasures
2035,63/100,Larvitar,Fighting,Common,Stormfront
2036,50/95,Larvitar,Fighting,Common,Unleashed
2037,51/95,Larvitar,Fighting,Common,Unleashed
2038,6/130,Lucario,Fighting,Rare Holo,Diamond Pearl
2039,61/146,Lucario,Fighting,Uncommon,Legends Awakened
2040,19/95,Lucario,Fighting,Rare,Unleashed
2041,14/95,Lucario,Fighting,Rare Holo,Call of Legends
2042,122/123,Lucario LV.X,Fighting,Rare Holo LV.X,Mysterious Treasures
2043,31/147,Lucario C,Fighting,Rare,Supreme Victors
2044,8/111,Lucario GL,Fighting,Rare Holo,Rising Rivals
2045,36/107,Lunatone,Fighting,Uncommon,Deoxys
2046,76/106,Lunatone,Fighting,Common,Great Encounters
2047,25/102,Lunatone,Fighting,Rare,Triumphant
2048,15/110,Machamp,Fighting,Rare Holo,Legendary Collection
2049,16/165,Machamp,Fighting,Rare Holo,Expedition
2050,51/165,Machamp,Fighting,Rare,Expedition
2051,16/144,Machamp,Fighting,Rare,Skyridge
2052,9/101,Machamp,Fighting,Rare Holo,Hidden Legends
2053,9/92,Machamp,Fighting,Rare Holo,Legend Maker
2054,11/108,Machamp,Fighting,Rare Holo,Power Keepers
2055,31/130,Machamp,Fighting,Rare,Diamond Pearl
2056,20/100,Machamp,Fighting,Rare,Stormfront
2057,26/102,Machamp,Fighting,Rare,Triumphant
2058,95/102,Machamp Prime ,Fighting,SuperRare Holo,Triumphant
2059,98/100,Machamp LV.X,Fighting,Rare Holo LV.X,Stormfront
2060,46/111,Machamp GL,Fighting,Uncommon,Rising Rivals
2061,51/110,Machoke,Fighting,Uncommon,Legendary Collection
2062,85/165,Machoke,Fighting,Uncommon,Expedition
2063,38/144,Machoke,Fighting,Uncommon,Skyridge
2064,41/101,Machoke,Fighting,Uncommon,Hidden Legends
2065,39/92,Machoke,Fighting,Uncommon,Legend Maker
2066,33/108,Machoke,Fighting,Uncommon,Power Keepers
2067,53/130,Machoke,Fighting,Uncommon,Diamond Pearl
2068,41/100,Machoke,Fighting,Uncommon,Stormfront
2069,40/102,Machoke,Fighting,Uncommon,Triumphant
2070,73/105,Machop,Fighting,Common,Neo Destiny
2071,79/110,Machop,Fighting,Common,Legendary Collection
2072,117/165,Machop,Fighting,Common,Expedition
2073,74/144,Machop,Fighting,Common,Skyridge
2074,64/101,Machop,Fighting,Common,Hidden Legends
2075,57/92,Machop,Fighting,Common,Legend Maker
2076,53/108,Machop,Fighting,Common,Power Keepers
2077,86/130,Machop,Fighting,Common,Diamond Pearl
2078,64/100,Machop,Fighting,Common,Stormfront
2079,67/102,Machop,Fighting,Common,Triumphant
2080,18/144,Magcargo,Fighting,Rare,Skyridge
2081,56/109,Makuhita,Fighting,Common,Ruby Sapphire
2082,57/109,Makuhita,Fighting,Common,Ruby Sapphire
2083,58/109,Makuhita,Fighting,Common,Ruby Sapphire
2084,65/107,Makuhita,Fighting,Common,Deoxys
2085,54/106,Makuhita,Fighting,Common,Emerald
2086,75/113,Makuhita,Fighting,Common,Delta Species
2087,78/106,Makuhita,Fighting,Common,Great Encounters
2088,68/99,Makuhita,Fighting,Common,Arceus
2089,55/90,Makuhita,Fighting,Common,Undaunted
2090,21/100,Mamoswine,Fighting,Rare,Stormfront
2091,81/110,Mankey,Fighting,Common,Legendary Collection
2092,92/147,Mankey,Fighting,Common,Aquapolis
2093,38/112,Mankey,Fighting,Uncommon,FireRed LeafGreen
2094,79/106,Mankey,Fighting,Common,Great Encounters
2095,112/147,Mankey,Fighting,Common,Supreme Victors
2096,53/95,Mankey,Fighting,Common,Unleashed
2097,54/147,Marowak,Fighting,Uncommon,Aquapolis
2098,7/112,Marowak,Fighting,Rare Holo,FireRed LeafGreen
2099,63/146,Marowak,Fighting,Uncommon,Legends Awakened
2100,44/102,Marowak,Fighting,Uncommon,Triumphant
2101,38/100,Marshtomp,Fighting,Uncommon,Crystal Guardians
2102,10/101,Medicham,Fighting,Rare Holo,Hidden Legends
2103,42/101,Medicham,Fighting,Uncommon,Hidden Legends
2104,25/100,Medicham,Fighting,Rare,Crystal Guardians
2105,34/108,Medicham,Fighting,Uncommon,Power Keepers
2106,32/130,Medicham,Fighting,Rare,Diamond Pearl
2107,95/106,Medicham ex,Fighting,Rare Holo ex,Emerald
2108,37/97,Meditite,Fighting,Uncommon,Dragon
2109,66/101,Meditite,Fighting,Common,Hidden Legends
2110,55/106,Meditite,Fighting,Common,Emerald
2111,56/100,Meditite,Fighting,Common,Crystal Guardians
2112,55/108,Meditite,Fighting,Common,Power Keepers
2113,89/130,Meditite,Fighting,Common,Diamond Pearl
2114,4/101,Meganium ?,Fighting,Rare Holo,Dragon Frontiers
2115,24/147,Nidoking,Fighting,Rare,Aquapolis
2116,8/112,Nidoking,Fighting,Rare Holo,FireRed LeafGreen
2117,29/111,Nidoking,Fighting,Rare,Rising Rivals
2118,6/102,Nidoking,Fighting,Rare Holo,Triumphant
2119,9/112,Nidoqueen,Fighting,Rare Holo,FireRed LeafGreen
2120,18/109,Nosepass,Fighting,Rare,Ruby Sapphire
2121,42/107,Nosepass,Fighting,Uncommon,Deoxys
2122,17/106,Nosepass,Fighting,Rare,Emerald
2123,25/110,Nosepass,Fighting,Rare,Holon Phantoms
2124,109/146,Nosepass,Fighting,Common,Legends Awakened
2125,84/127,Nosepass,Fighting,Common,Platinum
2126,69/99,Nosepass,Fighting,Common,Arceus
2127,84/110,Onix,Fighting,Common,Legendary Collection
2128,98/147,Onix,Fighting,Common,Aquapolis
2129,71/100,Onix,Fighting,Common,Sandstorm
2130,42/112,Onix,Fighting,Uncommon,FireRed LeafGreen
2131,69/109,Onix,Fighting,Common,Team Rocket Returns
2132,65/115,Onix,Fighting,Common,Unseen Forces
2133,92/130,Onix,Fighting,Common,Diamond Pearl
2134,69/100,Onix,Fighting,Common,Stormfront
2135,56/95,Onix,Fighting,Common,Unleashed
2136,57/95,Onix,Fighting,Common,Unleashed
2137,76/105,Phanpy,Fighting,Common,Neo Destiny
2138,100/147,Phanpy,Fighting,Common,Aquapolis
2139,62/109,Phanpy,Fighting,Common,Ruby Sapphire
2140,69/107,Phanpy,Fighting,Common,Deoxys
2141,75/110,Phanpy,Fighting,Common,Holon Phantoms
2142,98/132,Phanpy,Fighting,Common,Secret Wonders
2143,77/123,Phanpy,Fighting,Common,HeartGold SoulSilver
2144,66/95,Phanpy,Fighting,Common,Call of Legends
2145,43/144,Piloswine,Fighting,Uncommon,Skyridge
2146,13/109,Piloswine,Fighting,Rare Holo,Team Rocket Returns
2147,46/100,Piloswine,Fighting,Uncommon,Stormfront
2148,9/101,Pinsir ?,Fighting,Rare Holo,Dragon Frontiers
2149,26/144,Poliwrath,Fighting,Rare,Skyridge
2150,11/115,Poliwrath,Fighting,Rare Holo,Unseen Forces
2151,59/110,Primeape,Fighting,Uncommon,Legendary Collection
2152,29/147,Primeape,Fighting,Rare,Aquapolis
2153,28/112,Primeape,Fighting,Rare,FireRed LeafGreen
2154,27/106,Primeape,Fighting,Rare,Great Encounters
2155,39/147,Primeape,Fighting,Rare,Supreme Victors
2156,22/95,Primeape,Fighting,Rare,Unleashed
2157,13/146,Probopass,Fighting,Rare Holo,Legends Awakened
2158,60/127,Probopass,Fighting,Uncommon,Platinum
2159,90/165,Pupitar,Fighting,Uncommon,Expedition
2160,56/147,Pupitar,Fighting,Uncommon,Aquapolis
2161,70/115,Pupitar,Fighting,Common,Unseen Forces
2162,58/101,Pupitar,Fighting,Common,Dragon Frontiers
2163,59/123,Pupitar,Fighting,Uncommon,Mysterious Treasures
2164,47/100,Pupitar,Fighting,Uncommon,Stormfront
2165,38/95,Pupitar,Fighting,Uncommon,Unleashed
2166,39/95,Pupitar,Fighting,Uncommon,Unleashed
2167,44/115,Quagsire,Fighting,Uncommon,Unseen Forces
2168,33/123,Rampardos,Fighting,Rare,Mysterious Treasures
2169,13/127,Rampardos,Fighting,Rare Holo,Platinum
2170,11/111,Rampardos GL,Fighting,Rare Holo,Rising Rivals
2171,28/110,Regirock,Fighting,Rare,Holon Phantoms
2172,38/146,Regirock,Fighting,Rare,Legends Awakened
2173,98/101,Regirock ex,Fighting,Rare Holo ex,Hidden Legends
2174,99/106,Regirock ex,Fighting,Rare Holo ex,Emerald
2175,91/92,Regirock Star,Fighting,ShinyRare Holo,Legend Maker
2176,79/147,Relicanth,Fighting,Uncommon,Supreme Victors
2177,SH8,Relicanth,Fighting,Rare Holo,Supreme Victors
2178,35/110,Rhydon,Fighting,Rare,Legendary Collection
2179,29/144,Rhydon,Fighting,Rare,Skyridge
2180,46/101,Rhydon,Fighting,Uncommon,Hidden Legends
2181,19/106,Rhydon,Fighting,Rare,Emerald
2182,60/130,Rhydon,Fighting,Uncommon,Diamond Pearl
2183,80/147,Rhydon,Fighting,Uncommon,Supreme Victors
2184,90/110,Rhyhorn,Fighting,Common,Legendary Collection
2185,91/144,Rhyhorn,Fighting,Common,Skyridge
2186,70/101,Rhyhorn,Fighting,Common,Hidden Legends
2187,62/106,Rhyhorn,Fighting,Common,Emerald
2188,95/130,Rhyhorn,Fighting,Common,Diamond Pearl
2189,122/147,Rhyhorn,Fighting,Common,Supreme Victors
2190,12/130,Rhyperior,Fighting,Rare Holo,Diamond Pearl
2191,10/147,Rhyperior,Fighting,Rare Holo,Supreme Victors
2192,145/146,Rhyperior LV.X,Fighting,Rare Holo LV.X,Legends Awakened
2193,32/111,Rhyperior 4,Fighting,Rare,Rising Rivals
2194,61/130,Riolu,Fighting,Uncommon,Diamond Pearl
2195,117/146,Riolu,Fighting,Common,Legends Awakened
2196,91/127,Riolu,Fighting,Common,Platinum
2197,60/95,Riolu,Fighting,Common,Unleashed
2198,50/95,Riolu,Fighting,Uncommon,Call of Legends
2199,49/98,Roggenrola,Fighting,Common,Emerging Powers
2200,50/98,Roggenrola,Fighting,Common,Emerging Powers
2201,63/114,Sandile,Fighting,Common,Black White
2202,60/98,Sandile,Fighting,Common,Emerging Powers
2203,91/110,Sandshrew,Fighting,Common,Legendary Collection
2204,92/144,Sandshrew,Fighting,Common,Skyridge
2205,75/100,Sandshrew,Fighting,Common,Sandstorm
2206,74/109,Sandshrew,Fighting,Common,Team Rocket Returns
2207,82/113,Sandshrew,Fighting,Common,Delta Species
2208,96/123,Sandshrew,Fighting,Common,Mysterious Treasures
2209,124/147,Sandshrew,Fighting,Common,Supreme Victors
2210,79/123,Sandshrew,Fighting,Common,HeartGold SoulSilver
2211,62/110,Sandslash,Fighting,Uncommon,Legendary Collection
2212,93/144,Sandslash,Fighting,Common,Skyridge
2213,21/100,Sandslash,Fighting,Rare,Sandstorm
2214,61/123,Sandslash,Fighting,Uncommon,Mysterious Treasures
2215,42/147,Sandslash,Fighting,Rare,Supreme Victors
2216,29/123,Sandslash,Fighting,Rare,HeartGold SoulSilver
2217,62/114,Sawk,Fighting,Rare,Black White
2218,59/98,Sawk,Fighting,Uncommon,Emerging Powers
2219,22/101,Seadra ?,Fighting,Rare,Dragon Frontiers
2220,37/101,Seadra ?,Fighting,Uncommon,Dragon Frontiers
2221,53/110,Sharpedo ?,Fighting,Uncommon,Holon Phantoms
2222,63/101,Shellder ?,Fighting,Common,Dragon Frontiers
2223,108/105,Shining Kabutops,Fighting,Shining Holo,Neo Destiny
2224,13/100,Solrock,Fighting,Rare Holo,Sandstorm
2225,25/92,Solrock,Fighting,Rare,Legend Maker
2226,85/106,Solrock,Fighting,Common,Great Encounters
2227,9/102,Solrock,Fighting,Rare Holo,Triumphant
2228,36/147,Sudowoodo,Fighting,Rare,Aquapolis
2229,15/115,Sudowoodo,Fighting,Rare Holo,Unseen Forces
2230,35/123,Sudowoodo,Fighting,Rare,Mysterious Treasures
2231,48/100,Sudowoodo,Fighting,Uncommon,Majestic Dawn
2232,9/95,Sudowoodo,Fighting,Rare Holo,Unleashed
2233,27/100,Swampert,Fighting,Rare,Crystal Guardians
2234,95/95,Swampert ex,Fighting,Rare Holo ex,Team Magma VS Team Aqua
2235,108/144,Swinub,Fighting,Common,Skyridge
2236,79/109,Swinub,Fighting,Common,Team Rocket Returns
2237,77/100,Swinub,Fighting,Common,Stormfront
2238,58/95,Team Magma's Aron,Fighting,Common,Team Magma VS Team Aqua
2239,59/95,Team Magma's Aron,Fighting,Common,Team Magma VS Team Aqua
2240,60/95,Team Magma's Baltoy,Fighting,Common,Team Magma VS Team Aqua
2241,61/95,Team Magma's Baltoy,Fighting,Common,Team Magma VS Team Aqua
2242,33/95,Team Magma's Claydol,Fighting,Uncommon,Team Magma VS Team Aqua
2243,20/95,Team Magma's Lairon,Fighting,Rare,Team Magma VS Team Aqua
2244,36/95,Team Magma's Lairon,Fighting,Uncommon,Team Magma VS Team Aqua
2245,22/95,Team Magma's Rhydon,Fighting,Rare,Team Magma VS Team Aqua
2246,38/95,Team Magma's Rhyhorn,Fighting,Uncommon,Team Magma VS Team Aqua
2247,67/95,Team Magma's Rhyhorn,Fighting,Common,Team Magma VS Team Aqua
2248,68/95,Team Magma's Rhyhorn,Fighting,Common,Team Magma VS Team Aqua
2249,63/98,Terrakion,Fighting,Rare Holo,Emerging Powers
2250,61/114,Throh,Fighting,Rare,Black White
2251,58/98,Throh,Fighting,Uncommon,Emerging Powers
2252,58/114,Timburr,Fighting,Common,Black White
2253,59/114,Timburr,Fighting,Common,Black White
2254,11/100,Torterra,Fighting,Rare Holo,Stormfront
2255,11/99,Toxicroak,Fighting,Rare Holo,Arceus
2256,82/100,Trapinch,Fighting,Common,Sandstorm
2257,78/97,Trapinch,Fighting,Common,Dragon
2258,79/97,Trapinch,Fighting,Common,Dragon
2259,67/92,Trapinch,Fighting,Common,Legend Maker
2260,68/108,Trapinch,Fighting,Common,Power Keepers
2261,115/132,Trapinch,Fighting,Common,Secret Wonders
2262,84/111,Trapinch,Fighting,Common,Rising Rivals
2263,63/147,Tyrogue,Fighting,Uncommon,Aquapolis
2264,33/115,Tyrogue,Fighting,Rare,Unseen Forces
2265,126/146,Tyrogue,Fighting,Common,Legends Awakened
2266,33/123,Tyrogue,Fighting,Rare,HeartGold SoulSilver
2267,36/95,Tyrogue,Fighting,Rare,Call of Legends
2268,74/132,Vibrava,Fighting,Uncommon,Secret Wonders
2269,28/107,Whiscash,Fighting,Rare,Deoxys
2270,55/110,Whiscash,Fighting,Uncommon,Holon Phantoms
2271,54/111,Whiscash 4,Fighting,Uncommon,Rising Rivals
2272,79/115,Wooper,Fighting,Common,Unseen Forces
2273,42/132,Wormadam Sandy Cloak,Fighting,Rare,Secret Wonders
2274,50/99,Wormadam Sandy Cloak,Fighting,Uncommon,Arceus
2275,160/165,Fighting Energy,Fighting E,Na,Expedition
2276,105/109,Fighting Energy,Fighting E,Na,Ruby Sapphire
2277,106/106,Fighting Energy,Fighting E,Rare Holo,Emerald
2278,110/110,Fighting Energy,Fighting E,Rare Holo,Holon Phantoms
2279,108/108,Fighting Energy,Fighting E,Rare Holo,Power Keepers
2280,128/130,Fighting Energy,Fighting E,Common,Diamond Pearl
2281,120/123,Fighting Energy,Fighting E,Common,HeartGold SoulSilver
2282,93/95,Fighting Energy,Fighting E,Common,Call of Legends
2283,110/114,Fighting Energy,Fighting E,Common,Black White
2284,87/95,Magma Energy,Fighting E,Uncommon,Team Magma VS Team Aqua
2285,7/109,Dark Marowak,FightingDarkness,Rare Holo,Team Rocket Returns
2286,40/109,Dark Pupitar,FightingDarkness,Uncommon,Team Rocket Returns
2287,41/109,Dark Pupitar,FightingDarkness,Uncommon,Team Rocket Returns
2288,18/109,Dark Sandslash,FightingDarkness,Rare,Team Rocket Returns
2289,20/109,Dark Tyranitar,FightingDarkness,Rare,Team Rocket Returns
2290,7/95,Team Magma's Aggron,FightingDarkness,Rare Holo,Team Magma VS Team Aqua
2291,9/95,Team Magma's Groudon,FightingDarkness,Rare Holo,Team Magma VS Team Aqua
2292,11/95,Team Magma's Rhydon,FightingDarkness,Rare Holo,Team Magma VS Team Aqua
2293,1/110,Armaldo ?,FightingMetal,Rare Holo,Holon Phantoms
2294,2/100,Blastoise ?,FightingMetal,Rare Holo,Crystal Guardians
2295,10/113,Marowak ?,FightingMetal,Rare Holo,Delta Species
2296,27/113,Sandslash ?,FightingMetal,Rare,Delta Species
2297,35/110,Aerodactyl ?,Fire,Uncommon,Holon Phantoms
2298,13/101,Arbok ?,Fire,Rare,Dragon Frontiers
2299,36/110,Arcanine,Fire,Uncommon,Legendary Collection
2300,2/147,Arcanine,Fire,Rare,Aquapolis
2301,3/144,Arcanine,Fire,Rare,Skyridge
2302,15/100,Arcanine,Fire,Rare,Sandstorm
2303,18/112,Arcanine,Fire,Rare,FireRed LeafGreen
2304,22/132,Arcanine,Fire,Rare,Secret Wonders
2305,1/111,Arcanine,Fire,Rare Holo,Rising Rivals
2306,50/147,Arcanine,Fire,Uncommon,Supreme Victors
2307,1/123,Arcanine,Fire,Rare Holo,HeartGold SoulSilver
2308,83/92,Arcanine ex,Fire,Rare Holo ex,Legend Maker
2309,15/147,Arcanine G,Fire,Rare,Supreme Victors
2310,57/113,Bagon ?,Fire,Common,Delta Species
2311,58/113,Bagon ?,Fire,Common,Delta Species
2312,3/109,Blaziken,Fire,Rare Holo,Ruby Sapphire
2313,15/109,Blaziken,Fire,Rare,Ruby Sapphire
2314,1/106,Blaziken,Fire,Rare Holo,Emerald
2315,20/110,Blaziken,Fire,Rare,Holon Phantoms
2316,5/108,Blaziken,Fire,Rare Holo,Power Keepers
2317,1/106,Blaziken,Fire,Rare Holo,Great Encounters
2318,3/127,Blaziken,Fire,Rare Holo,Platinum
2319,89/95,Blaziken ex,Fire,Rare Holo ex,Team Magma VS Team Aqua
2320,2/147,Blaziken FB,Fire,Rare Holo,Supreme Victors
2321,142/147,Blaziken FB LV.X,Fire,Rare Holo LV.X,Supreme Victors
2322,4/109,Camerupt,Fire,Rare Holo,Ruby Sapphire
2323,24/97,Camerupt,Fire,Uncommon,Dragon
2324,4/107,Camerupt,Fire,Rare Holo,Deoxys
2325,23/106,Camerupt,Fire,Uncommon,Emerald
2326,36/110,Camerupt,Fire,Uncommon,Holon Phantoms
2327,3/100,Camerupt,Fire,Rare Holo,Crystal Guardians
2328,47/146,Camerupt,Fire,Uncommon,Legends Awakened
2329,18/147,Camerupt,Fire,Rare,Supreme Victors
2330,92/106,Camerupt ex,Fire,Rare Holo ex,Emerald
2331,19/147,Camerupt G,Fire,Rare,Supreme Victors
2332,51/146,Castform Sunny Form,Fire,Uncommon,Legends Awakened
2333,3/110,Charizard,Fire,Rare Holo,Legendary Collection
2334,6/165,Charizard,Fire,Rare Holo,Expedition
2335,39/165,Charizard,Fire,Rare,Expedition
2336,40/165,Charizard,Fire,Rare,Expedition
2337,100/97,Charizard,Fire,Rare Holo,Dragon
2338,6/108,Charizard,Fire,Rare Holo,Power Keepers
2339,3/132,Charizard,Fire,Rare Holo,Secret Wonders
2340,103/100,Charizard,Fire,Rare Holo,Stormfront
2341,1/99,Charizard,Fire,Rare Holo,Arceus
2342,105/112,Charizard ex,Fire,Rare Holo ex,FireRed LeafGreen
2343,20/147,Charizard G,Fire,Rare,Supreme Victors
2344,143/147,Charizard G LV.X,Fire,Rare Holo LV.X,Supreme Victors
2345,70/110,Charmander,Fire,Common,Legendary Collection
2346,97/165,Charmander,Fire,Common,Expedition
2347,98/165,Charmander,Fire,Common,Expedition
2348,98/97,Charmander,Fire,Rare Holo,Dragon
2349,57/112,Charmander,Fire,Common,FireRed LeafGreen
2350,58/112,Charmander,Fire,Common,FireRed LeafGreen
2351,113/112,Charmander,Fire,Rare Holo,FireRed LeafGreen
2352,48/100,Charmander,Fire,Common,Crystal Guardians
2353,48/108,Charmander,Fire,Common,Power Keepers
2354,82/132,Charmander,Fire,Common,Secret Wonders
2355,101/100,Charmander,Fire,Rare Holo,Stormfront
2356,59/99,Charmander,Fire,Common,Arceus
2357,37/110,Charmeleon,Fire,Uncommon,Legendary Collection
2358,73/165,Charmeleon,Fire,Uncommon,Expedition
2359,99/97,Charmeleon,Fire,Rare Holo,Dragon
2360,31/112,Charmeleon,Fire,Uncommon,FireRed LeafGreen
2361,110/109,Charmeleon,Fire,Rare Holo,Team Rocket Returns
2362,29/100,Charmeleon,Fire,Uncommon,Crystal Guardians
2363,28/108,Charmeleon,Fire,Uncommon,Power Keepers
2364,46/132,Charmeleon,Fire,Uncommon,Secret Wonders
2365,102/100,Charmeleon,Fire,Rare Holo,Stormfront
2366,35/99,Charmeleon,Fire,Uncommon,Arceus
2367,76/130,Chimchar,Fire,Common,Diamond Pearl
2368,56/100,Chimchar,Fire,Common,Majestic Dawn
2369,57/100,Chimchar,Fire,Common,Majestic Dawn
2370,70/127,Chimchar,Fire,Common,Platinum
2371,97/147,Chimchar,Fire,Common,Supreme Victors
2372,27/109,Combusken,Fire,Uncommon,Ruby Sapphire
2373,28/109,Combusken,Fire,Uncommon,Ruby Sapphire
2374,25/97,Combusken,Fire,Uncommon,Dragon
2375,25/106,Combusken,Fire,Uncommon,Emerald
2376,39/110,Combusken,Fire,Uncommon,Holon Phantoms
2377,31/100,Combusken,Fire,Uncommon,Crystal Guardians
2378,29/108,Combusken,Fire,Uncommon,Power Keepers
2379,35/106,Combusken,Fire,Uncommon,Great Encounters
2380,45/127,Combusken,Fire,Uncommon,Platinum
2381,104/165,Cyndaquil,Fire,Common,Expedition
2382,105/165,Cyndaquil,Fire,Common,Expedition
2383,59/100,Cyndaquil,Fire,Common,Sandstorm
2384,59/101,Cyndaquil,Fire,Common,Hidden Legends
2385,54/115,Cyndaquil,Fire,Common,Unseen Forces
2386,79/123,Cyndaquil,Fire,Common,Mysterious Treasures
2387,61/123,Cyndaquil,Fire,Common,HeartGold SoulSilver
2388,55/95,Cyndaquil,Fire,Common,Call of Legends
2389,25/114,Darmanitan,Fire,Rare,Black White
2390,21/98,Darmanitan,Fire,Rare,Emerging Powers
2391,23/114,Darumaka,Fire,Common,Black White
2392,24/114,Darumaka,Fire,Uncommon,Black White
2393,20/98,Darumaka,Fire,Common,Emerging Powers
2394,37/113,Ditto,Fire,Uncommon,Delta Species
2395,61/113,Ditto,Fire,Common,Delta Species
2396,47/101,Ekans ?,Fire,Common,Dragon Frontiers
2397,19/114,Emboar,Fire,Rare Holo,Black White
2398,20/114,Emboar,Fire,Rare Holo,Black White
2399,10/147,Entei,Fire,Rare,Aquapolis
2400,4/132,Entei,Fire,Rare Holo,Secret Wonders
2401,SL3,Entei,Fire,ShinyRare Holo,Call of Legends
